Order_id,Product,Category,Quantity,Price,Total_Amount,Date
1001,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,4026,0,27/4/2024
1002,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,4,6776,0,28/4/2024
1003,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,1,10629,0,16/3/2024
1004,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,4,10796,0,15/6/2024
1005,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,3,8508,0,14/6/2024
1006,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,2076,0,24/9/2024
1007,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,6753,0,25/7/2024
1008,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,3,8277,0,4/9/2024
1009,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,2242,0,8/7/2024
1010,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,4,11237,0,17/10/2024
1011,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,3,10608,0,1/4/2024
1012,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,3,6463,0,16/8/2024
1013,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,3,10049,0,13/5/2024
1014,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,2353,0,17/7/2024
1015,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,5905,0,15/4/2024
1016,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,7373,0,8/7/2024
1017,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,3511,0,26/5/2024
1018,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,7360,0,22/10/2024
1019,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,5542,0,3/3/2024
1020,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,4,8336,0,28/2/2024
1021,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,5563,0,4/12/2024
1022,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,6855,0,5/8/2024
1023,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,4,5089,0,6/9/2024
1024,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,6178,0,3/7/2024
1025,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,1,7909,0,16/12/2024
1026,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,5,7876,0,26/10/2024
1027,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,3492,0,13/9/2024
1028,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,10659,0,19/10/2024
1029,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,3,10184,0,23/12/2024
1030,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,2,3408,0,26/6/2024
1031,error: no implicit conversion of Integer into String,error: no implicit conversion of Integer into String,1,9089,0,26/4/2024
